Total results: 1.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Explore the list of result: (https://impresso-project.ch/app/search?sq=ChsIARACGBMqE2xvY2FsLWR1bWEtZFd2bDQ4MmY=);;;;;;;;;;;;;;;;;;;;;;;;;;;
This data is provided for research purposes only.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
uid;access_right;collections;content;content_provider;country;date;is_content_available;is_olr;is_on_front_page;issue;language;locations_mentioned;nb_pages;newsagencies_mentioned;newspaper;newspaper_political_orientation;newspaper_topics;pages;periodicity;persons_mentioned;province;relevance;size;title;topics;type;year
FZG-1987-04-27-a-i0079;OpenPrivate;local-duma-M0uAsy4D,local-duma-rlnjElxy,local-duma-tU7xtgDz,local-duma-0b7A-BKh,local-duma-SE_J5G0e,local-duma-dWvl482f;[redacted];SNL;CH;1987-04-27T00:00:00Z;N;True;False;FZG-1987-04-27-a;de;Japan|Bern|Bern|London|Thionville|Piacenza|Smolensk|Kursk;1;sda;FZG;Catholic;Generalist;16;na;Lew Saikow;FR;0.0;466;100 000 protestierten gegen Atomkraft;tm-de-all-v2.0_tp20_de|0.189 tm-de-all-v2.0_tp32_de|0.243 tm-de-all-v2.0_tp50_de|0.034 tm-de-all-v2.0_tp51_de|0.034 tm-de-all-v2.0_tp84_de|0.046 tm-de-all-v2.0_tp91_de|0.174 tm-de-all-v2.0_tp97_de|0.11 ;ar;1987
